user_id,pv_count,cart_count,fav_count,is_buy
1,55,0,0,0
13,7,4,0,0
100,84,0,6,1
115,227,3,11,0
117,156,4,0,1
118,90,0,0,0
119,141,1,6,1
121,99,13,7,1
122,243,10,26,1
1000,67,2,12,0
1016,26,0,0,0
1035,37,0,0,1
1043,232,5,1,0
1044,64,0,13,1
1046,11,0,0,0
1047,23,0,0,0
1049,102,12,0,0
1072,57,0,0,1
1076,86,3,0,0
1080,44,0,4,1
1083,43,1,21,1
1095,72,0,3,1
1098,23,5,0,1
1103,46,1,4,0
1105,33,5,0,1
1114,23,0,4,1
1119,165,8,11,1
1120,196,3,18,1
1122,36,0,0,0
1124,29,2,0,1
1131,91,5,6,1
1133,34,4,2,1
1143,91,21,0,1
1144,75,14,0,1
1146,46,3,1,1
1149,444,55,0,1
1156,176,20,0,1
1158,37,1,3,1
1159,85,19,0,1
1167,32,2,1,1
1169,171,5,0,1
1182,31,0,0,1
1187,98,3,0,0
1189,432,76,1,1
1192,211,24,0,1
1203,190,12,0,1
1207,27,1,0,0
1212,52,5,0,1
1214,55,4,0,0
1234,179,19,0,1
1241,85,20,0,1
1242,55,5,0,1
1244,9,0,0,1
1246,119,9,0,1
1249,233,26,0,1
1253,16,1,0,1
1262,158,6,15,0
1267,63,0,0,0
1274,77,11,0,1
1275,80,11,1,1
1281,23,0,0,1
1288,374,71,0,1
1294,22,1,0,1
1295,100,0,0,1
1302,105,9,0,0
1304,49,1,6,1
1306,17,1,0,0
10001,21,0,0,0
10008,41,12,0,1
10009,331,11,0,1
10013,212,0,38,0
10020,36,2,1,1
10021,107,17,0,1
10024,110,3,2,1
10027,104,4,1,1
10034,203,7,0,1
10035,109,1,18,1
10044,79,11,0,1
10045,58,1,0,1
10049,15,1,0,1
10053,31,0,1,1
10057,112,5,0,1
10075,42,6,5,1
10078,21,3,0,1
10086,42,1,1,1
10092,47,7,0,1
10096,43,0,0,1
10111,63,15,1,1
10114,183,8,0,1
10116,13,0,5,0
10121,75,0,4,0
10128,77,7,2,1
10135,47,26,4,1
10136,33,1,4,0
10139,225,15,1,1
10146,61,0,0,1
10150,9,0,1,1
10154,215,0,5,1
10156,112,0,0,1
10158,48,4,0,0
10165,21,0,1,0
10169,77,2,5,1
10170,72,4,10,1
10171,13,0,0,0
10179,168,9,30,1
10191,38,0,2,0
10192,139,1,0,0
10199,309,0,0,1
10201,26,2,0,0
10205,89,1,23,0
10206,221,1,2,1
10218,127,1,0,1
10220,35,5,1,0
10226,90,18,1,1
10230,167,3,20,1
10234,21,1,0,1
10236,149,23,1,1
10240,199,10,0,1
10246,137,8,0,1
10257,85,1,16,1
10263,35,4,0,1
10265,32,0,1,1
10267,99,11,1,1
10271,120,2,1,0
10272,62,4,0,0
10279,116,15,1,1
10290,62,15,0,1
10295,261,2,0,1
10296,221,2,0,1
10297,187,17,0,1
10299,89,8,2,1
10301,192,4,42,1
10306,20,1,0,1
10310,268,7,1,0
10311,70,16,0,1
10315,237,22,1,1
10321,47,0,1,1
10330,26,3,1,1
10332,73,4,4,0
10343,86,0,2,1
10356,11,2,0,0
10363,95,50,0,1
10365,358,3,40,1
10368,12,0,0,1
10371,42,1,0,1
10386,32,0,0,1
10388,18,2,4,1
10395,10,3,0,1
10396,162,5,1,1
10404,57,4,1,1
10406,75,4,1,0
10407,205,8,0,1
10422,207,11,6,1
10432,12,3,0,0
10435,121,0,18,1
10449,183,4,0,1
10451,219,15,13,0
10452,136,0,0,1
10458,55,9,0,1
10461,8,1,0,0
10464,112,1,0,1
10465,104,8,4,1
10469,32,11,0,1
10475,59,3,0,0
10476,49,5,1,1
10485,52,5,0,1
10486,73,2,0,0
10487,37,1,4,1
10490,12,0,0,1
10491,29,0,0,0
10502,37,1,3,1
10512,49,3,0,1
10513,11,0,0,0
10514,54,12,0,1
10515,55,0,0,1
10517,91,20,3,1
10519,16,0,0,1
10524,57,2,19,1
10526,122,11,2,1
10527,105,0,0,1
10529,161,3,0,1
10537,10,0,0,0
10542,12,1,0,1
10545,13,4,0,0
10552,83,16,0,1
10566,77,0,11,0
10571,11,0,2,1
10593,54,0,1,1
10597,133,8,0,0
10603,161,1,19,0
10608,195,0,3,1
10615,253,9,2,1
10618,35,13,0,1
10622,44,2,0,1
10628,93,7,1,1
10629,34,10,0,1
10630,57,7,1,1
10639,135,3,7,0
10642,84,0,5,1
10645,71,0,1,1
10656,96,3,0,1
10666,71,2,0,0
10667,25,4,0,1
10668,161,10,0,1
10669,72,0,1,1
10671,160,7,0,1
10676,6,0,0,1
10678,40,2,2,0
10680,42,2,0,1
10681,213,13,0,1
10683,41,0,0,1
10686,143,9,0,1
10689,16,0,0,0
10692,52,3,0,0
10694,0,2,0,1
10695,97,8,0,1
10702,31,3,1,0
10705,19,2,0,1
10713,24,1,0,0
10727,22,10,0,1
10752,304,0,21,1
10755,40,2,0,1
10757,83,8,0,1
10762,20,0,0,0
10768,29,0,0,0
10769,196,2,1,1
10772,175,8,0,1
10776,191,13,1,1
10777,37,11,0,1
10779,5,0,0,1
10780,90,23,0,0
10781,11,0,0,0
10790,94,10,0,1
10802,86,0,4,1
10806,30,1,0,1
10808,1,3,0,1
10809,98,1,6,1
10810,28,2,0,1
10819,27,2,0,0
10830,137,0,6,0
10836,88,5,2,1
10840,9,7,1,0
10843,136,16,0,1
10848,90,5,1,0
10849,59,6,1,1
10851,15,0,0,1
10858,133,4,0,1
10863,41,4,0,0
10871,159,5,16,1
10876,14,9,0,1
10877,63,11,4,1
10881,175,3,4,0
10882,158,2,1,1
10888,131,1,5,1
10895,64,1,4,1
10899,111,8,1,1
10901,37,1,1,1
10905,103,5,0,1
10907,30,1,0,0
10911,11,4,3,0
10923,118,17,0,1
10925,22,1,0,0
10926,38,12,4,1
10929,47,10,0,0
10935,24,0,0,1
10938,20,0,3,0
10944,170,1,16,0
10956,57,0,0,0
10958,61,11,0,0
10960,37,8,1,1
10968,11,0,7,1
10969,161,17,1,1
10983,27,4,0,1
10984,145,17,0,1
10992,80,4,0,0
10996,195,5,1,1
11001,66,0,1,0
11016,137,0,0,1
11019,66,5,0,1
11028,39,5,0,0
11029,91,2,0,0
11045,90,1,0,1
11058,228,26,0,1
11060,254,9,25,0
11067,13,0,0,0
11076,51,0,2,0
11079,266,10,2,1
11085,98,3,0,0
11094,36,22,0,0
11096,94,0,0,1
11097,133,5,0,1
11099,165,15,0,1
11106,91,5,0,0
11119,85,3,0,0
11122,101,4,0,0
11126,56,1,0,1
11129,31,6,0,0
11135,25,0,0,0
11140,60,7,0,1
11141,85,2,0,1
11145,177,13,29,1
11158,61,2,0,1
11159,99,9,1,1
11161,263,18,0,0
11162,330,21,2,1
11167,91,9,0,0
11179,169,0,15,1
11187,11,0,0,0
11189,9,1,0,1
11190,369,9,27,1
11194,124,20,0,1
11201,133,2,5,0
11202,102,5,0,1
11209,74,2,0,1
11215,62,0,3,1
11220,122,22,0,0
11221,43,0,3,0
11222,263,14,0,1
11225,150,4,27,1
11226,53,4,0,1
11237,34,0,0,0
11246,37,3,0,1
11248,34,0,1,0
11253,42,0,9,1
11255,47,2,0,1
11263,25,13,0,0
11266,40,0,0,0
11272,148,0,1,1
11283,130,18,0,1
11287,5,0,0,0
11293,89,8,11,1
11294,70,27,0,1
11295,91,7,0,1
11304,26,7,0,1
11307,24,2,0,0
11313,9,0,0,1
11316,26,0,0,1
11323,109,4,0,1
11327,106,2,0,1
11328,55,7,0,1
11329,130,6,0,0
11333,52,3,0,0
11341,98,0,0,1
11343,29,0,4,1
11344,205,3,28,1
11345,18,4,0,1
11364,9,0,2,0
11370,12,0,0,0
11377,14,1,0,1
11379,132,9,0,1
11380,167,10,34,1
11386,68,0,6,1
11393,176,17,0,1
11394,44,0,0,0
11395,21,0,2,1
11403,120,0,11,1
11413,78,13,1,1
11417,156,5,8,1
11420,13,4,0,0
11435,67,3,0,1
11440,16,0,0,1
11450,243,28,1,1
11452,50,11,0,1
11455,56,4,0,0
11460,107,5,8,0
11463,111,15,0,0
11465,85,4,0,1
11471,33,0,0,0
11492,25,1,0,0
11495,271,24,0,1
11497,139,1,0,1
11498,110,17,12,1
11500,40,0,2,0
11501,62,0,0,1
11503,263,4,2,1
11504,118,19,0,1
11507,54,16,0,1
11509,246,7,1,1
11512,11,6,0,0
11517,21,2,0,1
11518,9,0,2,0
11524,24,3,0,1
11531,83,1,0,1
11540,61,0,13,1
11541,24,6,0,0
11552,38,3,0,1
11561,97,25,0,0
11588,21,0,3,1
11590,85,4,0,1
11594,53,5,2,1
11597,157,11,1,0
11601,44,9,0,1
11610,196,10,0,1
11611,55,3,0,1
11617,62,4,15,0
11619,106,3,12,1
11625,28,5,3,1
11630,51,0,0,0
11647,110,9,0,0
11649,26,0,0,0
11658,23,3,0,0
11663,202,55,0,1
11666,61,1,0,1
11668,17,0,0,0
11682,394,32,0,1
11684,36,7,0,0
11693,7,0,0,0
11705,106,0,3,0
11708,109,6,0,1
11714,113,7,22,1
11721,26,8,0,1
11730,310,14,24,1
11736,28,10,0,1
11740,15,2,0,1
11744,56,11,0,1
11758,18,0,0,0
11761,74,0,10,0
11763,51,7,0,1
11770,106,1,0,1
11774,28,5,1,1
11783,99,0,1,1
11792,67,2,0,1
11800,26,0,0,1
11801,82,4,0,0
11804,13,0,1,0
11805,67,7,0,0
11812,84,11,0,1
11815,99,2,0,0
11821,102,21,0,1
11825,42,0,3,0
11834,30,4,0,1
11835,53,3,0,1
11839,244,7,0,1
11843,70,4,0,0
11855,49,1,0,1
11859,123,1,6,0
11889,217,9,33,1
11897,38,0,1,1
11900,68,18,0,1
11902,29,4,0,0
11904,127,18,0,0
11908,23,1,2,0
11911,140,5,1,0
11912,123,8,0,1
11916,9,0,0,1
11919,57,1,0,0
11921,0,5,0,1
11923,83,11,0,1
11933,33,3,5,0
11941,296,23,15,0
11942,56,1,0,0
11946,377,11,1,1
11950,20,5,0,1
11951,95,24,1,0
11960,12,0,0,0
11964,82,7,8,1
11970,100,2,2,1
11975,71,5,0,1
11976,215,70,3,1
11983,71,1,4,0
11988,80,0,6,1
11995,44,1,0,1
11998,39,1,0,1
12002,427,11,3,1
12004,51,7,0,1
12009,32,2,0,0
12018,37,3,0,0
12026,77,13,0,1
12034,52,5,0,0
12035,123,4,22,1
12037,37,3,0,1
12050,80,4,0,1
12058,17,6,0,0
12061,330,3,5,0
12063,156,0,0,0
12064,15,0,0,1
12068,43,0,0,1
12076,431,0,0,1
12077,46,6,0,1
12078,334,18,0,1
12082,36,0,2,1
12084,277,7,8,1
12087,50,0,4,1
12088,54,5,0,1
12092,73,4,0,0
12095,146,2,22,1
12099,74,18,0,1
12102,36,4,3,0
12104,98,5,1,1
12105,51,7,5,1
12110,38,1,2,1
12112,174,0,5,1
12117,27,7,0,1
12124,87,3,1,1
12132,110,0,0,0
12133,61,15,0,1
12143,98,7,15,1
12146,162,13,0,1
12148,19,0,0,0
12151,176,14,1,1
12163,163,12,9,1
12169,130,3,0,1
12171,8,0,0,0
12178,101,5,1,1
12180,49,4,2,1
12183,46,9,0,0
12186,172,17,0,1
12197,151,0,13,1
12202,152,2,0,1
12204,44,0,0,1
12213,45,5,0,1
12218,68,1,1,1
12230,75,0,1,1
12249,22,5,0,0
12255,17,0,0,1
12261,329,72,3,1
12265,152,16,0,1
12268,22,1,0,1
12274,27,0,1,1
12283,95,7,1,1
12285,118,7,0,0
12289,66,0,0,1
12295,182,0,13,1
12298,188,3,0,1
12307,19,2,0,0
12308,63,0,3,1
12311,103,0,7,0
12322,71,0,1,1
12325,17,1,0,1
12328,49,2,0,0
12333,80,1,13,1
12350,9,1,0,1
12351,179,0,8,1
12356,23,1,0,1
12360,135,1,1,1
12373,56,12,0,1
12375,45,5,0,1
12377,83,16,0,0
12378,16,0,0,1
12384,29,2,0,1
12387,38,1,0,1
12389,434,12,0,1
12394,43,0,0,1
12398,212,1,0,0
12400,12,1,1,1
12403,16,1,0,1
12407,88,15,1,1
12412,200,14,0,1
12420,38,0,2,1
12424,32,5,0,1
12425,63,1,1,0
12432,164,24,0,1
12441,21,1,0,0
12454,21,0,0,0
12455,65,5,0,1
12460,83,10,0,0
12464,40,0,6,1
12465,149,4,25,1
12466,13,0,0,1
12470,19,3,0,0
12475,8,0,0,0
12476,36,4,4,1
12482,92,18,3,1
12491,126,8,0,0
12492,182,23,1,1
12494,78,0,4,1
12500,94,4,0,1
12514,33,0,0,0
12523,152,3,72,0
12524,52,2,2,1
12528,51,1,0,0
12541,29,4,0,0
12543,74,0,11,0
12548,59,3,1,1
12566,59,7,1,1
12568,79,4,0,1
12569,73,1,3,1
12570,19,1,0,0
12574,200,6,0,1
12576,289,0,8,1
12578,46,0,16,1
12589,30,0,0,1
12605,42,2,0,1
12613,38,1,0,0
12615,155,11,1,1
12617,22,2,0,1
12629,158,2,1,1
12630,91,10,0,1
12632,126,10,2,1
12644,97,0,5,1
12645,18,3,0,1
12646,123,1,13,1
12650,54,0,1,1
12663,52,0,0,0
12665,109,1,40,1
12674,21,3,1,1
12690,201,31,0,0
12694,14,3,0,0
12696,204,2,11,0
12699,106,1,4,1
